skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name,noisy_color_palette,noisy_palette_name
fair,blue,brown,Summer,"['soft green', 'lavender', 'clear turquoise', 'warm brown', 'white']",Palette_ef960250,"['light soft green', 'bright lavender', 'dark clear turquoise', 'bright warm brown', 'light white']",Palette_9b997c0f
light,blue,blonde,Spring,"['coral', 'golden yellow', 'pastel blue', 'orange', 'navy']",Palette_9e60008a,"['muted coral', 'bright golden yellow', 'bright pastel blue', 'muted orange', 'light navy']",Palette_4ac56e4d
lightMedium,green,blonde,Spring,"['warm green', 'peach', 'grey', 'deep red', 'white']",Palette_12014f38,"['muted warm green', 'light peach', 'muted grey', 'muted deep red', 'dark white']",Palette_6982e54f
light,brown,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'olive green', 'navy']",Palette_e798ef17,"['dark soft pink', 'bright grey', 'golden yellow', 'bright olive green', 'dark navy']",Palette_d142d87a
fair,blue,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'deep red', 'navy']",Palette_23b53710,"['muted pastel blue', 'bright soft green', 'dark warm green', 'light deep red', 'muted navy']",Palette_5cccd9e1
lightMedium,brown,brown,Autumn,"['warm brown', 'orange', 'clear turquoise', 'grey', 'white']",Palette_206afd4a,"['light warm brown', 'light orange', 'light clear turquoise', 'grey', 'light white']",Palette_915fc5bf
fairLight,blue,blonde,Spring,"['peach', 'coral', 'soft pink', 'olive green', 'bright red']",Palette_4504f819,"['light peach', 'bright coral', 'muted soft pink', 'light olive green', 'light bright red']",Palette_ec28238a
light,hazel,brown,Summer,"['pastel blue', 'lavender', 'warm green', 'warm brown', 'navy']",Palette_37bb16c6,"['light pastel blue', 'muted lavender', 'light warm green', 'bright warm brown', 'muted navy']",Palette_b0f15b41
fair,brown,brown,Summer,"['grey', 'soft pink', 'coral', 'deep red', 'jewel blue']",Palette_abf31b8e,"['dark grey', 'muted soft pink', 'bright coral', 'dark deep red', 'light jewel blue']",Palette_5fd0952d
mediumTan,brown,brown,Autumn,"['olive green', 'warm brown', 'peach', 'pastel blue', 'white']",Palette_d227ddb5,"['bright olive green', 'dark warm brown', 'peach', 'light pastel blue', 'bright white']",Palette_119b64c8
Other,brown,black,Winter,"['navy', 'bright red', 'warm green', 'soft green', 'orange']",Palette_c24bf466,"['bright navy', 'bright red', 'light warm green', 'soft green', 'orange']",Palette_d8ca0846
fair,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'olive green', 'black']",Palette_48ae7fe7,"['peach', 'dark warm green', 'dark soft pink', 'bright olive green', 'muted black']",Palette_1c537502
light,brown,brown,Summer,"['grey', 'pastel blue', 'golden yellow', 'mustard', 'navy']",Palette_a678558c,"['bright grey', 'muted pastel blue', 'muted golden yellow', 'dark mustard', 'muted navy']",Palette_ad18928b
medium,hazel,brown,Autumn,"['olive green', 'deep red', 'clear turquoise', 'grey', 'bright red']",Palette_4f0a8ccf,"['bright olive green', 'bright deep red', 'dark clear turquoise', 'dark grey', 'bright bright red']",Palette_b8789e0f
fairLight,blue,blonde,Spring,"['coral', 'peach', 'soft green', 'mustard', 'bright red']",Palette_c03db5e3,"['bright coral', 'dark peach', 'bright soft green', 'muted mustard', 'bright red']",Palette_36f7077d
light,brown,brown,Summer,"['grey', 'soft green', 'peach', 'deep red', 'bright red']",Palette_af75ad70,"['muted grey', 'muted soft green', 'peach', 'muted deep red', 'dark bright red']",Palette_2be7ab91
light,brown,black,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'olive green', 'black']",Palette_9b9f836d,"['muted soft green', 'pastel blue', 'bright clear turquoise', 'dark olive green', 'dark black']",Palette_9d838c77
lightMedium,hazel,blonde,Spring,"['peach', 'clear turquoise', 'soft green', 'mustard', 'jewel blue']",Palette_3a446116,"['peach', 'dark clear turquoise', 'bright soft green', 'light mustard', 'muted jewel blue']",Palette_be246abb
light,green,blonde,Spring,"['coral', 'golden yellow', 'soft pink', 'deep red', 'jewel blue']",Palette_c425b72a,"['bright coral', 'muted golden yellow', 'dark soft pink', 'deep red', 'dark jewel blue']",Palette_6176cfef
light,Other,brown,Summer,"['soft green', 'lavender', 'warm green', 'warm brown', 'white']",Palette_2c89e01f,"['dark soft green', 'muted lavender', 'light warm green', 'warm brown', 'muted white']",Palette_37686ea5
light,brown,brown,Summer,"['pastel blue', 'lavender', 'coral', 'warm brown', 'navy']",Palette_27946166,"['dark pastel blue', 'muted lavender', 'light coral', 'bright warm brown', 'bright navy']",Palette_7a966cf3
light,green,brown,Summer,"['grey', 'soft pink', 'coral', 'deep red', 'navy']",Palette_6a48e99e,"['dark grey', 'light soft pink', 'coral', 'dark deep red', 'bright navy']",Palette_14deaa43
mediumTan,brown,brown,Autumn,"['deep red', 'warm brown', 'coral', 'soft pink', 'black']",Palette_d24e2f1f,"['light deep red', 'dark warm brown', 'light coral', 'light soft pink', 'dark black']",Palette_4fe3694f
fairLight,blue,brown,Summer,"['soft green', 'grey', 'warm green', 'deep red', 'black']",Palette_570a3693,"['bright soft green', 'light grey', 'warm green', 'deep red', 'bright black']",Palette_0f4ac9d6
fair,blue,brown,Summer,"['grey', 'soft pink', 'warm green', 'olive green', 'bright red']",Palette_1c57aa87,"['dark grey', 'light soft pink', 'light warm green', 'olive green', 'bright bright red']",Palette_5a73a6e0
lightMedium,brown,brown,Autumn,"['mustard', 'warm brown', 'coral', 'soft green', 'navy']",Palette_66dac760,"['light mustard', 'muted warm brown', 'bright coral', 'light soft green', 'light navy']",Palette_4fd69d75
Other,brown,black,Winter,"['navy', 'white', 'warm green', 'soft green', 'olive green']",Palette_b6665505,"['navy', 'muted white', 'dark warm green', 'dark soft green', 'light olive green']",Palette_0288bc2c
lightMedium,brown,brown,Autumn,"['olive green', 'warm brown', 'warm green', 'pastel blue', 'black']",Palette_14ea62a9,"['olive green', 'light warm brown', 'light warm green', 'pastel blue', 'black']",Palette_2a65d16d
fairLight,green,blonde,Spring,"['warm green', 'golden yellow', 'soft green', 'warm brown', 'white']",Palette_bc0f2653,"['bright warm green', 'muted golden yellow', 'light soft green', 'bright warm brown', 'bright white']",Palette_7ed1d4ed
medium,brown,brown,Autumn,"['deep red', 'mustard', 'warm green', 'lavender', 'white']",Palette_ed40f539,"['light deep red', 'muted mustard', 'muted warm green', 'muted lavender', 'dark white']",Palette_80d4d561
light,brown,black,Summer,"['soft green', 'pastel blue', 'coral', 'orange', 'bright red']",Palette_d9623988,"['dark soft green', 'pastel blue', 'muted coral', 'orange', 'dark bright red']",Palette_e46b8ba4
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'clear turquoise', 'lavender', 'jewel blue']",Palette_3b74d382,"['dark mustard', 'orange', 'clear turquoise', 'dark lavender', 'bright jewel blue']",Palette_286f650d
lightMedium,brown,brown,Autumn,"['deep red', 'olive green', 'clear turquoise', 'grey', 'jewel blue']",Palette_5bf4558a,"['deep red', 'muted olive green', 'clear turquoise', 'light grey', 'light jewel blue']",Palette_d02850dd
medium,brown,brown,Autumn,"['mustard', 'olive green', 'warm green', 'soft green', 'bright red']",Palette_5baa245f,"['dark mustard', 'dark olive green', 'bright warm green', 'muted soft green', 'bright bright red']",Palette_a3c131b9
light,brown,brown,Summer,"['soft green', 'lavender', 'warm green', 'olive green', 'white']",Palette_0182d5d9,"['dark soft green', 'dark lavender', 'bright warm green', 'olive green', 'light white']",Palette_85d264d2
lightMedium,brown,black,Spring,"['clear turquoise', 'warm green', 'lavender', 'olive green', 'navy']",Palette_73481b35,"['clear turquoise', 'warm green', 'dark lavender', 'olive green', 'dark navy']",Palette_a2500232
fairLight,blue,blonde,Spring,"['warm green', 'clear turquoise', 'grey', 'deep red', 'black']",Palette_435048b2,"['warm green', 'dark clear turquoise', 'dark grey', 'deep red', 'dark black']",Palette_85c92b35
light,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'warm brown', 'jewel blue']",Palette_0992cb5b,"['dark peach', 'light warm green', 'soft pink', 'bright warm brown', 'jewel blue']",Palette_d50a6ecf
light,brown,brown,Summer,"['grey', 'soft pink', 'peach', 'mustard', 'white']",Palette_c24b5176,"['light grey', 'light soft pink', 'muted peach', 'bright mustard', 'dark white']",Palette_8f0abc07
light,hazel,black,Summer,"['pastel blue', 'lavender', 'peach', 'mustard', 'black']",Palette_a4f84e92,"['dark pastel blue', 'lavender', 'muted peach', 'light mustard', 'muted black']",Palette_7180cd00
light,blue,blonde,Spring,"['golden yellow', 'warm green', 'pastel blue', 'orange', 'navy']",Palette_46e8d621,"['bright golden yellow', 'light warm green', 'dark pastel blue', 'muted orange', 'navy']",Palette_c33751e3
medium,brown,brown,Autumn,"['deep red', 'warm brown', 'clear turquoise', 'soft pink', 'black']",Palette_9e6459eb,"['bright deep red', 'warm brown', 'muted clear turquoise', 'soft pink', 'muted black']",Palette_17670c86
fair,blue,brown,Summer,"['grey', 'pastel blue', 'golden yellow', 'mustard', 'navy']",Palette_a678558c,"['grey', 'pastel blue', 'golden yellow', 'light mustard', 'navy']",Palette_edd6f80e
fair,green,black,Summer,"['soft green', 'grey', 'clear turquoise', 'deep red', 'white']",Palette_311d4b5d,"['muted soft green', 'dark grey', 'light clear turquoise', 'muted deep red', 'light white']",Palette_0288f8f8
fair,blue,blonde,Spring,"['peach', 'clear turquoise', 'grey', 'mustard', 'jewel blue']",Palette_510ed682,"['muted peach', 'dark clear turquoise', 'grey', 'mustard', 'light jewel blue']",Palette_6954016e
mediumTan,hazel,black,Spring,"['coral', 'warm green', 'grey', 'olive green', 'black']",Palette_c5197f2a,"['light coral', 'warm green', 'bright grey', 'muted olive green', 'light black']",Palette_cba84189
light,green,blonde,Spring,"['peach', 'clear turquoise', 'lavender', 'orange', 'bright red']",Palette_84b6b776,"['muted peach', 'dark clear turquoise', 'bright lavender', 'orange', 'bright red']",Palette_be2e14e2
fair,green,auburn,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'orange', 'navy']",Palette_043dcada,"['light clear turquoise', 'bright warm green', 'muted pastel blue', 'bright orange', 'muted navy']",Palette_b3e96446
fairLight,blue,brown,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'mustard', 'navy']",Palette_ef5101d9,"['muted pastel blue', 'light soft green', 'bright clear turquoise', 'bright mustard', 'navy']",Palette_78841e12
light,brown,brown,Summer,"['soft green', 'soft pink', 'peach', 'orange', 'navy']",Palette_f1f54d1e,"['light soft green', 'bright soft pink', 'dark peach', 'dark orange', 'dark navy']",Palette_a3019aab
lightMedium,brown,black,Spring,"['warm green', 'golden yellow', 'grey', 'olive green', 'navy']",Palette_d4ea2249,"['warm green', 'light golden yellow', 'light grey', 'olive green', 'dark navy']",Palette_1d4eff82
light,green,blonde,Spring,"['golden yellow', 'coral', 'lavender', 'deep red', 'white']",Palette_37205e1c,"['light golden yellow', 'dark coral', 'muted lavender', 'bright deep red', 'light white']",Palette_528cd5b0
light,brown,brown,Summer,"['pastel blue', 'lavender', 'peach', 'deep red', 'white']",Palette_382f76d5,"['light pastel blue', 'dark lavender', 'peach', 'dark deep red', 'white']",Palette_3d9dfced
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'warm green', 'mustard', 'bright red']",Palette_5f607b7d,"['bright pastel blue', 'dark soft pink', 'bright warm green', 'dark mustard', 'dark bright red']",Palette_336c55ed
light,brown,brown,Summer,"['soft green', 'soft pink', 'warm green', 'deep red', 'white']",Palette_e3d33479,"['soft green', 'soft pink', 'dark warm green', 'muted deep red', 'dark white']",Palette_4da032f3
fair,hazel,brown,Summer,"['soft green', 'soft pink', 'peach', 'deep red', 'white']",Palette_957d146b,"['soft green', 'bright soft pink', 'dark peach', 'light deep red', 'muted white']",Palette_42183bab
fair,brown,blonde,Summer,"['lavender', 'soft pink', 'peach', 'orange', 'navy']",Palette_74683316,"['light lavender', 'muted soft pink', 'dark peach', 'muted orange', 'light navy']",Palette_41c72b6e
fair,brown,brown,Summer,"['pastel blue', 'soft green', 'golden yellow', 'olive green', 'jewel blue']",Palette_e89371a2,"['light pastel blue', 'dark soft green', 'bright golden yellow', 'bright olive green', 'bright jewel blue']",Palette_23c41cfa
light,blue,red,Spring,"['warm green', 'golden yellow', 'lavender', 'orange', 'black']",Palette_7172237f,"['muted warm green', 'light golden yellow', 'lavender', 'muted orange', 'light black']",Palette_b34d6bc3
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'peach', 'grey', 'black']",Palette_ed7ed92c,"['deep red', 'light mustard', 'light peach', 'light grey', 'black']",Palette_2fb59b63
fair,brown,blonde,Summer,"['pastel blue', 'lavender', 'peach', 'warm brown', 'white']",Palette_bf1bfe03,"['bright pastel blue', 'muted lavender', 'bright peach', 'warm brown', 'dark white']",Palette_4ac6386e
medium,brown,black,Spring,"['coral', 'golden yellow', 'soft green', 'olive green', 'jewel blue']",Palette_2f676848,"['bright coral', 'golden yellow', 'soft green', 'dark olive green', 'dark jewel blue']",Palette_fef3be63
light,brown,black,Summer,"['soft green', 'lavender', 'clear turquoise', 'deep red', 'bright red']",Palette_1a791725,"['soft green', 'bright lavender', 'clear turquoise', 'light deep red', 'dark bright red']",Palette_82449c1f
medium,brown,brown,Autumn,"['orange', 'olive green', 'coral', 'pastel blue', 'black']",Palette_b8920e58,"['dark orange', 'dark olive green', 'bright coral', 'pastel blue', 'light black']",Palette_c086662a
fair,hazel,black,Summer,"['soft pink', 'grey', 'golden yellow', 'deep red', 'white']",Palette_b1ab2b04,"['dark soft pink', 'bright grey', 'dark golden yellow', 'deep red', 'muted white']",Palette_52eb0e7d
mediumTan,blue,brown,Spring,"['warm green', 'golden yellow', 'soft pink', 'deep red', 'jewel blue']",Palette_10199db7,"['dark warm green', 'bright golden yellow', 'bright soft pink', 'bright deep red', 'bright jewel blue']",Palette_a6ac7769
medium,brown,blonde,Spring,"['coral', 'peach', 'lavender', 'orange', 'navy']",Palette_44a7c919,"['coral', 'bright peach', 'bright lavender', 'bright orange', 'light navy']",Palette_ca371dfd
fair,hazel,brown,Summer,"['grey', 'soft green', 'coral', 'olive green', 'bright red']",Palette_dfefa42b,"['light grey', 'muted soft green', 'coral', 'bright olive green', 'bright bright red']",Palette_b64db892
deep,brown,black,Winter,"['jewel blue', 'white', 'golden yellow', 'grey', 'warm brown']",Palette_abfa8b2c,"['dark jewel blue', 'muted white', 'light golden yellow', 'bright grey', 'dark warm brown']",Palette_7e6f433e
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'warm green', 'soft pink', 'white']",Palette_df4f7f15,"['dark deep red', 'dark orange', 'bright warm green', 'muted soft pink', 'muted white']",Palette_ae6214c7
lightMedium,green,brown,Autumn,"['olive green', 'mustard', 'golden yellow', 'soft pink', 'navy']",Palette_deb8cc52,"['bright olive green', 'muted mustard', 'bright golden yellow', 'muted soft pink', 'navy']",Palette_165e1458
fair,blue,brown,Summer,"['pastel blue', 'soft green', 'coral', 'olive green', 'bright red']",Palette_4c08d31c,"['dark pastel blue', 'muted soft green', 'light coral', 'olive green', 'bright red']",Palette_3fe4adc2
lightMedium,brown,blonde,Spring,"['coral', 'warm green', 'grey', 'warm brown', 'jewel blue']",Palette_8377f4ee,"['muted coral', 'light warm green', 'dark grey', 'muted warm brown', 'light jewel blue']",Palette_7f1de21f
lightMedium,hazel,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'soft green', 'bright red']",Palette_c0c46923,"['muted deep red', 'orange', 'clear turquoise', 'dark soft green', 'bright red']",Palette_a5bf8660
light,green,blonde,Spring,"['coral', 'golden yellow', 'grey', 'orange', 'bright red']",Palette_d244a384,"['bright coral', 'dark golden yellow', 'light grey', 'light orange', 'light bright red']",Palette_a5792970
fair,blue,brown,Summer,"['grey', 'soft pink', 'clear turquoise', 'olive green', 'navy']",Palette_67a7fd45,"['light grey', 'bright soft pink', 'light clear turquoise', 'dark olive green', 'bright navy']",Palette_187bf41b
light,green,brown,Summer,"['soft pink', 'grey', 'coral', 'orange', 'white']",Palette_5d5807bf,"['dark soft pink', 'bright grey', 'light coral', 'light orange', 'light white']",Palette_e4be4ee0
light,blue,brown,Summer,"['pastel blue', 'soft green', 'coral', 'deep red', 'white']",Palette_9c9c90bd,"['light pastel blue', 'muted soft green', 'muted coral', 'light deep red', 'dark white']",Palette_dba5f35c
light,blue,brown,Summer,"['pastel blue', 'soft green', 'golden yellow', 'mustard', 'black']",Palette_50ecef1e,"['bright pastel blue', 'bright soft green', 'muted golden yellow', 'bright mustard', 'black']",Palette_07f30c12
medium,brown,black,Spring,"['warm green', 'peach', 'lavender', 'orange', 'jewel blue']",Palette_f6aef20f,"['warm green', 'dark peach', 'dark lavender', 'light orange', 'muted jewel blue']",Palette_f62222c6
fair,Other,black,Summer,"['lavender', 'soft pink', 'coral', 'orange', 'bright red']",Palette_5ccb549d,"['lavender', 'soft pink', 'dark coral', 'bright orange', 'bright red']",Palette_94b5532a
light,blue,blonde,Spring,"['coral', 'golden yellow', 'soft green', 'orange', 'jewel blue']",Palette_55c359b0,"['muted coral', 'light golden yellow', 'dark soft green', 'orange', 'bright jewel blue']",Palette_d73e7a1b
lightMedium,blue,blonde,Spring,"['golden yellow', 'warm green', 'pastel blue', 'deep red', 'white']",Palette_0f552327,"['dark golden yellow', 'bright warm green', 'dark pastel blue', 'bright deep red', 'white']",Palette_92d9d52e
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'warm green', 'warm brown', 'jewel blue']",Palette_cdb4cec9,"['pastel blue', 'bright soft pink', 'dark warm green', 'light warm brown', 'light jewel blue']",Palette_c7717ec8
lightMedium,brown,blonde,Spring,"['warm green', 'peach', 'lavender', 'mustard', 'white']",Palette_6dd13391,"['dark warm green', 'muted peach', 'light lavender', 'dark mustard', 'muted white']",Palette_c4562bba
lightMedium,brown,black,Spring,"['clear turquoise', 'golden yellow', 'soft green', 'mustard', 'navy']",Palette_fde934dd,"['bright clear turquoise', 'golden yellow', 'light soft green', 'mustard', 'light navy']",Palette_1f622a47
light,hazel,black,Summer,"['grey', 'soft pink', 'golden yellow', 'mustard', 'bright red']",Palette_80542f1a,"['muted grey', 'soft pink', 'dark golden yellow', 'muted mustard', 'dark bright red']",Palette_30ff288e
light,brown,black,Summer,"['pastel blue', 'grey', 'warm green', 'mustard', 'white']",Palette_b517e7ba,"['dark pastel blue', 'light grey', 'dark warm green', 'mustard', 'muted white']",Palette_0eaabe4e
light,brown,brown,Summer,"['grey', 'soft pink', 'clear turquoise', 'deep red', 'navy']",Palette_ee0c5a97,"['dark grey', 'bright soft pink', 'muted clear turquoise', 'muted deep red', 'navy']",Palette_a0e37272
light,brown,auburn,Summer,"['soft green', 'soft pink', 'golden yellow', 'orange', 'bright red']",Palette_509e975f,"['light soft green', 'light soft pink', 'bright golden yellow', 'muted orange', 'light bright red']",Palette_2b28181d
fairLight,green,brown,Summer,"['grey', 'soft pink', 'clear turquoise', 'orange', 'black']",Palette_646acff4,"['muted grey', 'muted soft pink', 'muted clear turquoise', 'light orange', 'dark black']",Palette_83df090a
lightMedium,blue,blonde,Spring,"['warm green', 'golden yellow', 'pastel blue', 'deep red', 'black']",Palette_04078eb1,"['light warm green', 'muted golden yellow', 'dark pastel blue', 'dark deep red', 'dark black']",Palette_322be175
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'warm green', 'grey', 'bright red']",Palette_be0eaa71,"['warm brown', 'muted olive green', 'bright warm green', 'light grey', 'bright red']",Palette_3e61ba3a
medium,blue,blonde,Spring,"['clear turquoise', 'peach', 'soft green', 'orange', 'black']",Palette_1a7c31aa,"['bright clear turquoise', 'light peach', 'dark soft green', 'light orange', 'dark black']",Palette_66ae5fae
fair,blue,brown,Summer,"['soft green', 'soft pink', 'clear turquoise', 'orange', 'white']",Palette_12d69c9a,"['bright soft green', 'bright soft pink', 'muted clear turquoise', 'bright orange', 'white']",Palette_b80fd27c
lightMedium,brown,black,Spring,"['peach', 'golden yellow', 'lavender', 'olive green', 'navy']",Palette_6306709d,"['peach', 'light golden yellow', 'bright lavender', 'bright olive green', 'dark navy']",Palette_a4029651
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'warm green', 'pastel blue', 'white']",Palette_c0b298d1,"['olive green', 'orange', 'warm green', 'muted pastel blue', 'bright white']",Palette_e87afc13
light,hazel,blonde,Spring,"['warm green', 'clear turquoise', 'pastel blue', 'mustard', 'white']",Palette_8ec7a268,"['warm green', 'bright clear turquoise', 'light pastel blue', 'light mustard', 'bright white']",Palette_547bc867
light,brown,blonde,Summer,"['soft green', 'pastel blue', 'peach', 'orange', 'jewel blue']",Palette_0b9eef7b,"['dark soft green', 'bright pastel blue', 'light peach', 'muted orange', 'muted jewel blue']",Palette_e99caf8e
lightMedium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'deep red', 'white']",Palette_67cf80c5,"['muted golden yellow', 'light clear turquoise', 'light pastel blue', 'bright deep red', 'light white']",Palette_05fb4174
light,hazel,brown,Summer,"['pastel blue', 'grey', 'warm green', 'mustard', 'bright red']",Palette_9cb7f86e,"['pastel blue', 'grey', 'dark warm green', 'light mustard', 'bright red']",Palette_ff366690
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'grey', 'orange', 'black']",Palette_567b5c7c,"['warm green', 'bright golden yellow', 'grey', 'bright orange', 'bright black']",Palette_038fa070
fair,green,blonde,Spring,"['coral', 'warm green', 'soft pink', 'olive green', 'jewel blue']",Palette_f0bfa25b,"['bright coral', 'bright warm green', 'muted soft pink', 'muted olive green', 'muted jewel blue']",Palette_ec22b691
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'grey', 'warm brown', 'navy']",Palette_ac78b922,"['bright golden yellow', 'clear turquoise', 'light grey', 'dark warm brown', 'muted navy']",Palette_60c06795
tan,hazel,black,Spring,"['clear turquoise', 'coral', 'soft green', 'orange', 'jewel blue']",Palette_26532ae0,"['dark clear turquoise', 'light coral', 'muted soft green', 'light orange', 'muted jewel blue']",Palette_4282efe6
mediumTan,brown,brown,Autumn,"['orange', 'olive green', 'golden yellow', 'lavender', 'bright red']",Palette_501693d4,"['dark orange', 'bright olive green', 'bright golden yellow', 'bright lavender', 'dark bright red']",Palette_44dddb48
light,brown,black,Summer,"['soft pink', 'pastel blue', 'peach', 'mustard', 'black']",Palette_de00c206,"['muted soft pink', 'muted pastel blue', 'peach', 'mustard', 'light black']",Palette_74e53898
lightMedium,brown,blonde,Spring,"['coral', 'warm green', 'soft green', 'orange', 'jewel blue']",Palette_599b49de,"['light coral', 'dark warm green', 'muted soft green', 'light orange', 'muted jewel blue']",Palette_f2ebceac
mediumTan,brown,black,Spring,"['warm green', 'golden yellow', 'pastel blue', 'mustard', 'navy']",Palette_0ee1dce8,"['muted warm green', 'dark golden yellow', 'pastel blue', 'dark mustard', 'muted navy']",Palette_8a864845
medium,brown,black,Spring,"['coral', 'peach', 'pastel blue', 'warm brown', 'black']",Palette_9b78debb,"['muted coral', 'dark peach', 'dark pastel blue', 'light warm brown', 'black']",Palette_afcb0674
fair,blue,brown,Summer,"['pastel blue', 'grey', 'warm green', 'olive green', 'black']",Palette_034e7c9e,"['dark pastel blue', 'light grey', 'dark warm green', 'olive green', 'light black']",Palette_c14103f3
fair,hazel,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'orange', 'jewel blue']",Palette_c451b763,"['light soft pink', 'grey', 'muted clear turquoise', 'bright orange', 'muted jewel blue']",Palette_b0e129c4
mediumTan,brown,brown,Autumn,"['olive green', 'orange', 'clear turquoise', 'soft green', 'black']",Palette_063f5ae5,"['dark olive green', 'light orange', 'muted clear turquoise', 'soft green', 'black']",Palette_8193e7da
fair,green,brown,Summer,"['lavender', 'soft green', 'peach', 'olive green', 'bright red']",Palette_5f41f1d8,"['lavender', 'bright soft green', 'peach', 'muted olive green', 'dark bright red']",Palette_db2b5a58
light,hazel,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'orange', 'white']",Palette_65820e06,"['dark lavender', 'pastel blue', 'dark golden yellow', 'bright orange', 'bright white']",Palette_2bfc7d4b
fair,brown,brown,Summer,"['soft pink', 'grey', 'warm green', 'olive green', 'black']",Palette_34edaa44,"['soft pink', 'dark grey', 'light warm green', 'muted olive green', 'light black']",Palette_5beced06
fair,green,brown,Summer,"['lavender', 'soft pink', 'peach', 'mustard', 'jewel blue']",Palette_da8356a9,"['light lavender', 'bright soft pink', 'muted peach', 'bright mustard', 'light jewel blue']",Palette_aadec2f3
light,brown,black,Summer,"['soft pink', 'pastel blue', 'coral', 'deep red', 'bright red']",Palette_fb3d5f17,"['bright soft pink', 'light pastel blue', 'light coral', 'dark deep red', 'bright bright red']",Palette_ba457ee0
mediumTan,hazel,brown,Autumn,"['orange', 'deep red', 'golden yellow', 'soft pink', 'white']",Palette_240d98bb,"['orange', 'muted deep red', 'light golden yellow', 'soft pink', 'muted white']",Palette_5c486d25
light,hazel,brown,Summer,"['grey', 'lavender', 'coral', 'deep red', 'white']",Palette_5cdb038a,"['grey', 'bright lavender', 'light coral', 'deep red', 'bright white']",Palette_d3247b62
lightMedium,brown,brown,Autumn,"['orange', 'deep red', 'warm green', 'grey', 'jewel blue']",Palette_26b59c98,"['bright orange', 'deep red', 'light warm green', 'muted grey', 'bright jewel blue']",Palette_7503a5da
lightMedium,brown,black,Spring,"['coral', 'golden yellow', 'soft green', 'olive green', 'bright red']",Palette_e810ae86,"['muted coral', 'bright golden yellow', 'light soft green', 'olive green', 'bright red']",Palette_9b6417b9
fair,blue,brown,Summer,"['soft pink', 'lavender', 'clear turquoise', 'olive green', 'jewel blue']",Palette_48639a05,"['soft pink', 'light lavender', 'dark clear turquoise', 'bright olive green', 'muted jewel blue']",Palette_fa1a190a
fair,brown,black,Summer,"['soft pink', 'lavender', 'coral', 'olive green', 'bright red']",Palette_58d4b811,"['dark soft pink', 'dark lavender', 'coral', 'muted olive green', 'bright red']",Palette_30283d97
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'deep red', 'black']",Palette_1407fec5,"['bright pastel blue', 'dark soft pink', 'light clear turquoise', 'dark deep red', 'bright black']",Palette_6285f693
fair,blue,blonde,Spring,"['clear turquoise', 'warm green', 'lavender', 'deep red', 'navy']",Palette_a0611fc8,"['bright clear turquoise', 'bright warm green', 'lavender', 'dark deep red', 'muted navy']",Palette_c32857b6
light,blue,blonde,Spring,"['peach', 'warm green', 'lavender', 'warm brown', 'white']",Palette_f91d5b9c,"['peach', 'light warm green', 'lavender', 'bright warm brown', 'white']",Palette_6f364563
fair,blue,red,Spring,"['peach', 'warm green', 'grey', 'orange', 'white']",Palette_53bba07d,"['dark peach', 'warm green', 'light grey', 'orange', 'light white']",Palette_e43b26bb
medium,blue,blonde,Spring,"['clear turquoise', 'coral', 'soft pink', 'olive green', 'white']",Palette_2aa2b58d,"['light clear turquoise', 'coral', 'bright soft pink', 'bright olive green', 'dark white']",Palette_46a9efb7
Other,brown,auburn,Winter,"['navy', 'black', 'golden yellow', 'lavender', 'warm brown']",Palette_9a9e8478,"['navy', 'bright black', 'golden yellow', 'dark lavender', 'dark warm brown']",Palette_c05ffee9
fairLight,blue,blonde,Spring,"['clear turquoise', 'peach', 'lavender', 'deep red', 'jewel blue']",Palette_5ed1e8fd,"['light clear turquoise', 'dark peach', 'muted lavender', 'light deep red', 'jewel blue']",Palette_eaf8ec9f
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'lavender', 'orange', 'jewel blue']",Palette_5cf752c7,"['dark clear turquoise', 'light peach', 'bright lavender', 'light orange', 'jewel blue']",Palette_cb32dfc9
light,blue,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'warm brown', 'bright red']",Palette_1fead344,"['bright pastel blue', 'dark soft pink', 'bright clear turquoise', 'muted warm brown', 'bright red']",Palette_dafb4b3b
