skin_tone,eye_color,hair_color,primary_season,color_palette
lightMedium,blue,auburn,Spring,"['warm green', 'coral', 'soft pink', 'orange', 'bright red']"
fair,hazel,brunette,Summer,"['soft green', 'grey', 'warm green', 'warm brown', 'black']"
mediumTan,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'pastel blue', 'bright red']"
light,green,blonde,Spring,"['warm green', 'clear turquoise', 'lavender', 'warm brown', 'white']"
fair,blue,brown,Summer,"['soft pink', 'pastel blue', 'coral', 'deep red', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'peach', 'pastel blue', 'black']"
light,brown,brown,Summer,"['soft green', 'pastel blue', 'coral', 'mustard', 'white']"
fair,brown,brown,Summer,"['pastel blue', 'grey', 'golden yellow', 'olive green', 'bright red']"
fair,brown,black,Summer,"['soft pink', 'lavender', 'coral', 'orange', 'navy']"
light,green,black,Summer,"['pastel blue', 'soft pink', 'peach', 'olive green', 'white']"
medium,brown,black,Spring,"['coral', 'clear turquoise', 'soft pink', 'orange', 'jewel blue']"
medium,brown,black,Spring,"['warm green', 'golden yellow', 'grey', 'deep red', 'black']"
lightMedium,brown,black,Spring,"['clear turquoise', 'peach', 'soft green', 'mustard', 'white']"
fair,blue,brown,Summer,"['soft pink', 'soft green', 'clear turquoise', 'deep red', 'navy']"
deep,brown,black,Winter,"['white', 'navy', 'coral', 'soft pink', 'mustard']"
light,brown,black,Summer,"['grey', 'pastel blue', 'peach', 'orange', 'black']"
fair,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'pastel blue', 'olive green', 'bright red']"
fair,green,brown,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'deep red', 'white']"
medium,brown,black,Spring,"['clear turquoise', 'coral', 'lavender', 'olive green', 'bright red']"
light,hazel,brown,Summer,"['soft green', 'soft pink', 'peach', 'olive green', 'bright red']"
fair,blue,red,Spring,"['golden yellow', 'coral', 'soft green', 'mustard', 'black']"
fair,blue,brown,Summer,"['lavender', 'soft pink', 'peach', 'warm brown', 'navy']"
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'orange', 'bright red']"
fair,blue,blonde,Spring,"['peach', 'coral', 'lavender', 'deep red', 'white']"
mediumTan,brown,brown,Autumn,"['orange', 'mustard', 'clear turquoise', 'grey', 'navy']"
fairLight,hazel,blonde,Spring,"['golden yellow', 'warm green', 'soft green', 'mustard', 'jewel blue']"
lightMedium,hazel,blonde,Spring,"['coral', 'clear turquoise', 'soft green', 'olive green', 'jewel blue']"
fair,brown,brown,Summer,"['soft pink', 'lavender', 'clear turquoise', 'deep red', 'bright red']"
light,brown,black,Summer,"['pastel blue', 'grey', 'warm green', 'orange', 'jewel blue']"
lightMedium,hazel,blonde,Spring,"['peach', 'clear turquoise', 'soft green', 'warm brown', 'bright red']"
fair,blue,blonde,Spring,"['golden yellow', 'peach', 'grey', 'deep red', 'white']"
fairLight,blue,blonde,Spring,"['coral', 'peach', 'soft green', 'deep red', 'black']"
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'coral', 'lavender', 'white']"
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'warm brown', 'navy']"
fair,green,blonde,Spring,"['warm green', 'peach', 'soft pink', 'olive green', 'white']"
mediumTan,brown,brown,Autumn,"['deep red', 'mustard', 'warm green', 'pastel blue', 'white']"
mediumTan,brown,black,Spring,"['warm green', 'golden yellow', 'soft pink', 'deep red', 'black']"
medium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'soft green', 'mustard', 'white']"
deep,brown,black,Winter,"['navy', 'bright red', 'clear turquoise', 'lavender', 'warm brown']"
medium,Other,blonde,Spring,"['coral', 'golden yellow', 'soft pink', 'deep red', 'black']"
light,brown,brown,Summer,"['soft pink', 'soft green', 'golden yellow', 'olive green', 'navy']"
light,hazel,brown,Summer,"['grey', 'soft green', 'peach', 'orange', 'jewel blue']"
fair,green,brown,Summer,"['soft green', 'lavender', 'golden yellow', 'orange', 'navy']"
fair,hazel,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'olive green', 'bright red']"
mediumTan,Other,brown,Spring,"['warm green', 'clear turquoise', 'soft green', 'mustard', 'black']"
light,green,blonde,Spring,"['golden yellow', 'peach', 'pastel blue', 'warm brown', 'black']"
fair,hazel,blonde,Spring,"['clear turquoise', 'coral', 'soft green', 'orange', 'black']"
mediumTan,brown,black,Spring,"['coral', 'warm green', 'soft green', 'olive green', 'black']"
fair,blue,brown,Summer,"['pastel blue', 'grey', 'warm green', 'mustard', 'bright red']"
light,blue,brown,Summer,"['lavender', 'soft green', 'coral', 'warm brown', 'jewel blue']"
fair,blue,blonde,Spring,"['coral', 'warm green', 'lavender', 'olive green', 'black']"
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'olive green', 'jewel blue']"
light,brown,brown,Summer,"['lavender', 'pastel blue', 'warm green', 'olive green', 'jewel blue']"
light,hazel,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'mustard', 'bright red']"
lightMedium,blue,brown,Spring,"['warm green', 'clear turquoise', 'grey', 'warm brown', 'jewel blue']"
mediumTan,brown,black,Spring,"['warm green', 'peach', 'soft green', 'deep red', 'bright red']"
light,green,brown,Summer,"['lavender', 'grey', 'clear turquoise', 'deep red', 'bright red']"
lightMedium,brown,black,Spring,"['coral', 'peach', 'grey', 'deep red', 'white']"
light,green,brunette,Summer,"['pastel blue', 'lavender', 'coral', 'mustard', 'navy']"
light,hazel,brown,Summer,"['soft pink', 'grey', 'golden yellow', 'warm brown', 'bright red']"
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'warm green', 'soft green', 'navy']"
light,blue,brown,Summer,"['soft green', 'lavender', 'peach', 'olive green', 'white']"
fair,brown,brown,Summer,"['pastel blue', 'lavender', 'coral', 'orange', 'white']"
light,brown,blonde,Summer,"['soft pink', 'soft green', 'peach', 'orange', 'jewel blue']"
medium,brown,brown,Autumn,"['orange', 'deep red', 'golden yellow', 'soft green', 'white']"
light,blue,blonde,Spring,"['clear turquoise', 'warm green', 'soft green', 'mustard', 'black']"
mediumTan,brown,brown,Autumn,"['warm brown', 'orange', 'warm green', 'soft pink', 'bright red']"
lightMedium,hazel,blonde,Spring,"['clear turquoise', 'peach', 'pastel blue', 'deep red', 'bright red']"
light,hazel,brown,Summer,"['lavender', 'grey', 'peach', 'warm brown', 'navy']"
fair,brown,black,Summer,"['soft green', 'soft pink', 'peach', 'orange', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'golden yellow', 'pastel blue', 'bright red']"
fair,blue,blonde,Spring,"['golden yellow', 'peach', 'lavender', 'mustard', 'black']"
fairLight,blue,brown,Summer,"['soft green', 'pastel blue', 'peach', 'mustard', 'bright red']"
lightMedium,brown,blonde,Spring,"['warm green', 'coral', 'lavender', 'warm brown', 'black']"
fairLight,brown,brown,Summer,"['soft green', 'grey', 'peach', 'olive green', 'white']"
lightMedium,brown,blonde,Spring,"['coral', 'peach', 'soft pink', 'mustard', 'jewel blue']"
fair,Other,brown,Summer,"['grey', 'soft green', 'coral', 'mustard', 'black']"
light,blue,blonde,Spring,"['warm green', 'peach', 'soft pink', 'olive green', 'jewel blue']"
fairLight,blue,blonde,Spring,"['peach', 'golden yellow', 'soft pink', 'mustard', 'jewel blue']"
light,hazel,blonde,Spring,"['warm green', 'peach', 'lavender', 'olive green', 'bright red']"
fairLight,Other,black,Summer,"['soft green', 'grey', 'peach', 'olive green', 'white']"
fair,Other,blonde,Summer,"['lavender', 'soft pink', 'coral', 'warm brown', 'black']"
fair,blue,brown,Summer,"['soft pink', 'soft green', 'coral', 'warm brown', 'white']"
medium,blue,blonde,Spring,"['peach', 'warm green', 'pastel blue', 'deep red', 'white']"
lightMedium,green,brown,Autumn,"['olive green', 'orange', 'peach', 'soft green', 'jewel blue']"
mediumTan,brown,black,Spring,"['coral', 'clear turquoise', 'soft green', 'deep red', 'black']"
mediumTan,brown,black,Spring,"['clear turquoise', 'coral', 'soft green', 'olive green', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'golden yellow', 'lavender', 'jewel blue']"
tan,brown,black,Spring,"['clear turquoise', 'golden yellow', 'soft green', 'deep red', 'white']"
fair,blue,blonde,Spring,"['warm green', 'golden yellow', 'soft pink', 'deep red', 'white']"
light,green,blonde,Spring,"['clear turquoise', 'peach', 'lavender', 'mustard', 'black']"
mediumTan,hazel,Other,Spring,"['peach', 'coral', 'soft pink', 'warm brown', 'black']"
mediumTan,brown,brown,Autumn,"['orange', 'olive green', 'peach', 'lavender', 'navy']"
fair,hazel,brown,Summer,"['lavender', 'grey', 'peach', 'deep red', 'black']"
lightMedium,hazel,blonde,Spring,"['golden yellow', 'warm green', 'lavender', 'deep red', 'black']"
fair,green,brown,Summer,"['soft green', 'grey', 'warm green', 'orange', 'white']"
lightMedium,brown,black,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'deep red', 'jewel blue']"
lightMedium,hazel,brown,Autumn,"['olive green', 'orange', 'peach', 'grey', 'jewel blue']"
fair,hazel,brown,Summer,"['soft pink', 'pastel blue', 'warm green', 'orange', 'black']"
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'clear turquoise', 'soft pink', 'black']"
fair,hazel,brown,Summer,"['pastel blue', 'lavender', 'warm green', 'olive green', 'navy']"
light,hazel,blonde,Spring,"['coral', 'golden yellow', 'grey', 'mustard', 'jewel blue']"
light,brown,black,Summer,"['pastel blue', 'grey', 'golden yellow', 'olive green', 'white']"
tan,brown,black,Spring,"['coral', 'peach', 'soft pink', 'olive green', 'jewel blue']"
deep,brown,black,Winter,"['black', 'jewel blue', 'warm green', 'grey', 'deep red']"
light,brown,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'olive green', 'black']"
light,hazel,brown,Summer,"['lavender', 'soft pink', 'warm green', 'olive green', 'bright red']"
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'clear turquoise', 'grey', 'bright red']"
light,brown,brown,Summer,"['lavender', 'pastel blue', 'golden yellow', 'deep red', 'navy']"
mediumTan,hazel,brown,Autumn,"['orange', 'olive green', 'golden yellow', 'grey', 'navy']"
light,green,black,Summer,"['soft pink', 'lavender', 'clear turquoise', 'mustard', 'black']"
lightMedium,hazel,brown,Autumn,"['orange', 'warm brown', 'peach', 'lavender', 'black']"
lightMedium,hazel,blonde,Spring,"['peach', 'clear turquoise', 'pastel blue', 'orange', 'bright red']"
light,hazel,brown,Summer,"['soft green', 'grey', 'peach', 'olive green', 'black']"
lightMedium,hazel,brown,Autumn,"['mustard', 'olive green', 'peach', 'pastel blue', 'white']"
fair,brown,black,Summer,"['soft green', 'soft pink', 'warm green', 'mustard', 'jewel blue']"
medium,brown,black,Spring,"['clear turquoise', 'coral', 'grey', 'warm brown', 'black']"
deep,brown,black,Winter,"['bright red', 'black', 'coral', 'pastel blue', 'olive green']"
fair,brown,brown,Summer,"['pastel blue', 'soft green', 'coral', 'mustard', 'white']"
light,blue,brown,Summer,"['soft pink', 'grey', 'coral', 'warm brown', 'navy']"
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'lavender', 'orange', 'bright red']"
mediumTan,hazel,brown,Autumn,"['warm brown', 'olive green', 'warm green', 'soft pink', 'jewel blue']"
fair,hazel,brown,Summer,"['soft pink', 'pastel blue', 'peach', 'mustard', 'navy']"
Other,brown,brown,Winter,"['bright red', 'white', 'warm green', 'soft pink', 'olive green']"
mediumTan,brown,brown,Autumn,"['olive green', 'warm brown', 'warm green', 'soft green', 'black']"
light,brown,brown,Summer,"['soft green', 'grey', 'warm green', 'warm brown', 'navy']"
medium,blue,blonde,Spring,"['clear turquoise', 'warm green', 'soft green', 'olive green', 'jewel blue']"
fair,brown,brunette,Summer,"['grey', 'soft pink', 'peach', 'orange', 'bright red']"
fair,blue,brown,Summer,"['pastel blue', 'soft green', 'peach', 'olive green', 'jewel blue']"
fair,hazel,blonde,Spring,"['warm green', 'golden yellow', 'lavender', 'orange', 'jewel blue']"
fair,brown,blonde,Summer,"['pastel blue', 'lavender', 'peach', 'mustard', 'black']"
medium,hazel,brown,Autumn,"['orange', 'deep red', 'clear turquoise', 'pastel blue', 'jewel blue']"
light,green,blonde,Spring,"['golden yellow', 'warm green', 'lavender', 'olive green', 'black']"
medium,brown,black,Spring,"['coral', 'clear turquoise', 'grey', 'warm brown', 'black']"
fairLight,blue,brown,Summer,"['soft pink', 'lavender', 'coral', 'orange', 'white']"
fairLight,blue,brown,Summer,"['soft green', 'lavender', 'peach', 'olive green', 'navy']"
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'golden yellow', 'lavender', 'bright red']"
light,hazel,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'warm brown', 'navy']"
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'clear turquoise', 'grey', 'jewel blue']"
fairLight,blue,brown,Summer,"['soft green', 'soft pink', 'warm green', 'mustard', 'black']"
light,blue,blonde,Spring,"['peach', 'warm green', 'pastel blue', 'warm brown', 'white']"
medium,brown,brown,Autumn,"['orange', 'olive green', 'clear turquoise', 'soft pink', 'white']"
medium,brown,brown,Autumn,"['orange', 'deep red', 'golden yellow', 'soft pink', 'jewel blue']"
light,hazel,blonde,Spring,"['golden yellow', 'warm green', 'lavender', 'orange', 'white']"
medium,brown,brown,Autumn,"['olive green', 'warm brown', 'coral', 'lavender', 'navy']"
fair,blue,black,Summer,"['grey', 'pastel blue', 'coral', 'olive green', 'white']"
fair,green,blonde,Spring,"['peach', 'coral', 'grey', 'warm brown', 'jewel blue']"
light,brown,brown,Summer,"['soft pink', 'pastel blue', 'peach', 'deep red', 'navy']"
light,blue,brown,Summer,"['soft green', 'soft pink', 'coral', 'orange', 'navy']"
lightMedium,hazel,blonde,Spring,"['coral', 'clear turquoise', 'lavender', 'olive green', 'black']"
fair,brown,blonde,Summer,"['soft green', 'lavender', 'peach', 'orange', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'warm green', 'soft pink', 'jewel blue']"
fair,blue,brown,Summer,"['pastel blue', 'soft green', 'golden yellow', 'warm brown', 'bright red']"
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'lavender', 'olive green', 'white']"
lightMedium,brown,brown,Autumn,"['mustard', 'warm brown', 'peach', 'soft green', 'jewel blue']"
fair,green,blonde,Spring,"['peach', 'coral', 'grey', 'olive green', 'navy']"
fairLight,hazel,brown,Summer,"['lavender', 'soft pink', 'peach', 'orange', 'white']"
mediumTan,brown,black,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'deep red', 'navy']"
medium,brown,brown,Autumn,"['deep red', 'olive green', 'warm green', 'pastel blue', 'bright red']"
tan,green,brown,Autumn,"['warm brown', 'orange', 'warm green', 'grey', 'jewel blue']"
fair,green,brown,Summer,"['soft green', 'lavender', 'golden yellow', 'deep red', 'black']"
deep,brown,black,Winter,"['black', 'white', 'peach', 'grey', 'warm brown']"
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft pink', 'warm brown', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'peach', 'pastel blue', 'jewel blue']"
fair,green,blonde,Spring,"['peach', 'warm green', 'grey', 'orange', 'navy']"
lightMedium,hazel,red,Autumn,"['orange', 'mustard', 'coral', 'lavender', 'jewel blue']"
light,hazel,brown,Summer,"['lavender', 'pastel blue', 'clear turquoise', 'warm brown', 'white']"
light,green,blonde,Spring,"['coral', 'golden yellow', 'lavender', 'deep red', 'jewel blue']"
light,brown,brown,Summer,"['lavender', 'soft pink', 'coral', 'olive green', 'bright red']"
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'coral', 'mustard', 'bright red']"
lightMedium,brown,blonde,Spring,"['warm green', 'clear turquoise', 'soft pink', 'warm brown', 'jewel blue']"
mediumTan,brown,black,Spring,"['clear turquoise', 'warm green', 'soft pink', 'deep red', 'bright red']"
fair,blue,red,Spring,"['warm green', 'peach', 'lavender', 'deep red', 'bright red']"
fair,hazel,brown,Summer,"['soft pink', 'lavender', 'golden yellow', 'orange', 'black']"
light,brown,blonde,Summer,"['soft green', 'grey', 'peach', 'warm brown', 'black']"
medium,green,blonde,Spring,"['clear turquoise', 'coral', 'lavender', 'mustard', 'jewel blue']"
fair,blue,auburn,Spring,"['coral', 'clear turquoise', 'grey', 'deep red', 'white']"
deep,brown,black,Winter,"['navy', 'white', 'golden yellow', 'soft green', 'warm brown']"
light,blue,brown,Summer,"['grey', 'soft green', 'clear turquoise', 'olive green', 'white']"
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'coral', 'pastel blue', 'white']"
lightMedium,brown,black,Spring,"['golden yellow', 'warm green', 'lavender', 'orange', 'navy']"
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'warm green', 'soft pink', 'bright red']"
fair,green,brown,Summer,"['pastel blue', 'lavender', 'warm green', 'mustard', 'bright red']"
fairLight,blue,blonde,Spring,"['golden yellow', 'warm green', 'grey', 'deep red', 'black']"
light,blue,brown,Summer,"['soft green', 'soft pink', 'golden yellow', 'mustard', 'black']"
fair,brown,black,Summer,"['lavender', 'grey', 'clear turquoise', 'orange', 'black']"
fair,brown,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'mustard', 'black']"
fair,hazel,brown,Summer,"['soft green', 'pastel blue', 'coral', 'olive green', 'white']"
lightMedium,brown,brown,Autumn,"['deep red', 'warm brown', 'warm green', 'soft green', 'white']"
light,brown,brown,Summer,"['lavender', 'soft green', 'clear turquoise', 'olive green', 'bright red']"
medium,brown,brown,Autumn,"['deep red', 'orange', 'warm green', 'grey', 'bright red']"
fair,brown,brown,Summer,"['soft green', 'soft pink', 'peach', 'mustard', 'white']"
deep,brown,black,Winter,"['jewel blue', 'white', 'coral', 'soft pink', 'deep red']"
fair,Other,blonde,Summer,"['soft green', 'lavender', 'clear turquoise', 'orange', 'white']"
mediumTan,brown,black,Spring,"['warm green', 'peach', 'lavender', 'deep red', 'navy']"
medium,brown,black,Spring,"['clear turquoise', 'coral', 'lavender', 'mustard', 'bright red']"
medium,green,brown,Autumn,"['olive green', 'mustard', 'warm green', 'soft pink', 'bright red']"
lightMedium,blue,brown,Spring,"['clear turquoise', 'peach', 'soft green', 'deep red', 'black']"
lightMedium,brown,blonde,Spring,"['golden yellow', 'warm green', 'soft green', 'olive green', 'bright red']"
fair,brown,auburn,Summer,"['grey', 'lavender', 'golden yellow', 'orange', 'jewel blue']"
light,brown,blonde,Summer,"['lavender', 'soft green', 'warm green', 'olive green', 'jewel blue']"
lightMedium,blue,brown,Spring,"['golden yellow', 'peach', 'soft green', 'mustard', 'black']"
light,blue,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'olive green', 'bright red']"
fairLight,blue,red,Spring,"['coral', 'clear turquoise', 'soft green', 'orange', 'bright red']"
fair,green,blonde,Spring,"['coral', 'peach', 'soft green', 'olive green', 'black']"
lightMedium,blue,brown,Spring,"['peach', 'golden yellow', 'soft pink', 'mustard', 'navy']"
Other,brown,black,Winter,"['black', 'jewel blue', 'clear turquoise', 'grey', 'warm brown']"
medium,brown,brown,Autumn,"['orange', 'deep red', 'warm green', 'soft pink', 'navy']"
medium,brown,brown,Autumn,"['olive green', 'orange', 'peach', 'grey', 'white']"
fairLight,blue,blonde,Spring,"['golden yellow', 'coral', 'pastel blue', 'orange', 'jewel blue']"
medium,brown,black,Spring,"['clear turquoise', 'warm green', 'grey', 'orange', 'white']"
light,brown,black,Summer,"['soft pink', 'pastel blue', 'peach', 'deep red', 'black']"
light,green,blonde,Spring,"['peach', 'golden yellow', 'soft pink', 'olive green', 'navy']"
fair,blue,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'olive green', 'white']"
medium,brown,black,Spring,"['warm green', 'clear turquoise', 'soft pink', 'mustard', 'black']"
fairLight,hazel,brown,Summer,"['pastel blue', 'grey', 'clear turquoise', 'orange', 'navy']"
fair,green,brunette,Summer,"['pastel blue', 'grey', 'golden yellow', 'olive green', 'white']"
fair,brown,brown,Summer,"['grey', 'soft green', 'peach', 'mustard', 'jewel blue']"
medium,blue,brown,Spring,"['golden yellow', 'coral', 'soft green', 'olive green', 'white']"
fair,blue,blonde,Spring,"['coral', 'peach', 'soft green', 'olive green', 'navy']"
medium,brown,brown,Autumn,"['mustard', 'warm brown', 'peach', 'lavender', 'black']"
light,green,blonde,Spring,"['peach', 'golden yellow', 'lavender', 'olive green', 'white']"
fairLight,brown,brown,Summer,"['pastel blue', 'soft green', 'coral', 'orange', 'black']"
fair,brown,brown,Summer,"['pastel blue', 'soft pink', 'warm green', 'olive green', 'white']"
lightMedium,brown,black,Spring,"['coral', 'peach', 'soft green', 'mustard', 'black']"
lightMedium,brown,brown,Autumn,"['olive green', 'warm brown', 'golden yellow', 'grey', 'navy']"
lightMedium,brown,brown,Autumn,"['mustard', 'orange', 'coral', 'pastel blue', 'black']"
deep,brown,brown,Winter,"['navy', 'white', 'coral', 'lavender', 'mustard']"
light,brown,brown,Summer,"['soft green', 'soft pink', 'warm green', 'mustard', 'bright red']"
lightMedium,brown,brown,Autumn,"['orange', 'olive green', 'peach', 'soft green', 'bright red']"
medium,brown,black,Spring,"['golden yellow', 'peach', 'grey', 'orange', 'navy']"
fair,brown,brunette,Summer,"['grey', 'pastel blue', 'golden yellow', 'olive green', 'navy']"
light,hazel,brown,Summer,"['soft pink', 'pastel blue', 'golden yellow', 'mustard', 'white']"
tan,brown,black,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'warm brown', 'bright red']"
mediumTan,brown,black,Spring,"['clear turquoise', 'coral', 'soft pink', 'orange', 'white']"
fair,brown,brown,Summer,"['pastel blue', 'soft green', 'warm green', 'mustard', 'bright red']"
mediumTan,brown,black,Spring,"['warm green', 'golden yellow', 'soft pink', 'orange', 'bright red']"
medium,green,blonde,Spring,"['coral', 'peach', 'soft green', 'deep red', 'bright red']"
lightMedium,brown,brown,Autumn,"['mustard', 'warm brown', 'peach', 'lavender', 'navy']"
fair,hazel,blonde,Spring,"['golden yellow', 'coral', 'pastel blue', 'orange', 'black']"
lightMedium,brown,brown,Autumn,"['olive green', 'mustard', 'golden yellow', 'pastel blue', 'black']"
lightMedium,brown,black,Spring,"['peach', 'warm green', 'pastel blue', 'deep red', 'bright red']"
lightMedium,blue,blonde,Spring,"['clear turquoise', 'coral', 'lavender', 'olive green', 'navy']"
light,green,brown,Summer,"['pastel blue', 'grey', 'warm green', 'mustard', 'jewel blue']"
fairLight,green,brown,Summer,"['lavender', 'grey', 'peach', 'orange', 'bright red']"
lightMedium,brown,black,Spring,"['golden yellow', 'clear turquoise', 'pastel blue', 'orange', 'bright red']"
light,hazel,brown,Summer,"['soft green', 'grey', 'coral', 'warm brown', 'black']"
lightMedium,hazel,brown,Autumn,"['orange', 'olive green', 'coral', 'lavender', 'jewel blue']"
medium,brown,brown,Autumn,"['olive green', 'deep red', 'coral', 'soft green', 'jewel blue']"
light,brown,brown,Summer,"['pastel blue', 'lavender', 'golden yellow', 'olive green', 'black']"
fairLight,green,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'orange', 'black']"
fair,blue,brunette,Summer,"['lavender', 'pastel blue', 'golden yellow', 'mustard', 'black']"
light,blue,brown,Summer,"['soft pink', 'grey', 'peach', 'mustard', 'navy']"
fair,green,black,Summer,"['lavender', 'pastel blue', 'warm green', 'warm brown', 'white']"
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'warm green', 'deep red', 'navy']"
fair,green,blonde,Spring,"['clear turquoise', 'peach', 'soft pink', 'warm brown', 'navy']"
fair,green,blonde,Spring,"['peach', 'golden yellow', 'pastel blue', 'olive green', 'navy']"
mediumTan,brown,brown,Autumn,"['olive green', 'mustard', 'peach', 'soft green', 'bright red']"
lightMedium,green,brown,Autumn,"['mustard', 'orange', 'warm green', 'soft green', 'jewel blue']"
lightMedium,brown,brown,Autumn,"['warm brown', 'orange', 'coral', 'lavender', 'navy']"
fair,blue,blonde,Spring,"['clear turquoise', 'peach', 'grey', 'warm brown', 'navy']"
deep,brown,black,Winter,"['bright red', 'white', 'clear turquoise', 'soft pink', 'deep red']"
light,brown,brown,Summer,"['soft pink', 'grey', 'warm green', 'warm brown', 'white']"
fair,brown,brown,Summer,"['pastel blue', 'soft green', 'coral', 'olive green', 'jewel blue']"
deep,brown,black,Winter,"['bright red', 'white', 'golden yellow', 'soft green', 'mustard']"
mediumTan,Other,brown,Spring,"['warm green', 'coral', 'soft pink', 'orange', 'black']"
lightMedium,brown,brown,Autumn,"['warm brown', 'olive green', 'golden yellow', 'soft pink', 'jewel blue']"
light,green,brown,Summer,"['soft pink', 'lavender', 'peach', 'deep red', 'jewel blue']"
tan,brown,black,Spring,"['golden yellow', 'coral', 'soft pink', 'olive green', 'black']"
mediumTan,brown,black,Spring,"['golden yellow', 'peach', 'soft pink', 'mustard', 'bright red']"
light,blue,brown,Summer,"['grey', 'lavender', 'peach', 'warm brown', 'bright red']"
fairLight,green,auburn,Spring,"['coral', 'peach', 'soft green', 'mustard', 'white']"
light,blue,blonde,Spring,"['peach', 'clear turquoise', 'soft pink', 'olive green', 'bright red']"
lightMedium,green,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'warm brown', 'black']"
fair,brown,blonde,Summer,"['soft green', 'lavender', 'coral', 'orange', 'navy']"
light,blue,blonde,Spring,"['peach', 'warm green', 'soft pink', 'deep red', 'navy']"
light,brown,brown,Summer,"['grey', 'pastel blue', 'coral', 'mustard', 'white']"
fair,blue,blonde,Spring,"['coral', 'peach', 'soft pink', 'warm brown', 'bright red']"
light,hazel,brown,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'warm brown', 'white']"
light,blue,blonde,Spring,"['clear turquoise', 'peach', 'grey', 'deep red', 'bright red']"
light,brown,brown,Summer,"['soft green', 'pastel blue', 'peach', 'olive green', 'bright red']"
light,brown,black,Summer,"['soft green', 'grey', 'coral', 'warm brown', 'jewel blue']"
fair,brown,black,Summer,"['soft green', 'pastel blue', 'clear turquoise', 'olive green', 'navy']"
light,blue,blonde,Spring,"['coral', 'clear turquoise', 'pastel blue', 'orange', 'jewel blue']"
fair,green,blonde,Spring,"['warm green', 'clear turquoise', 'pastel blue', 'olive green', 'white']"
lightMedium,brown,black,Spring,"['peach', 'golden yellow', 'soft pink', 'olive green', 'white']"
light,blue,blonde,Spring,"['golden yellow', 'clear turquoise', 'grey', 'orange', 'white']"
mediumTan,hazel,blonde,Spring,"['clear turquoise', 'warm green', 'soft green', 'olive green', 'navy']"
light,brown,brown,Summer,"['pastel blue', 'soft green', 'peach', 'mustard', 'bright red']"
fair,brown,brunette,Summer,"['lavender', 'soft green', 'clear turquoise', 'mustard', 'navy']"
light,brown,brown,Summer,"['soft pink', 'lavender', 'golden yellow', 'warm brown', 'jewel blue']"
fair,blue,blonde,Spring,"['coral', 'peach', 'soft green', 'olive green', 'white']"
light,brown,black,Summer,"['grey', 'soft green', 'warm green', 'warm brown', 'black']"
fair,brown,black,Summer,"['lavender', 'soft pink', 'golden yellow', 'mustard', 'black']"
fair,hazel,red,Spring,"['peach', 'warm green', 'soft pink', 'mustard', 'white']"
lightMedium,brown,brown,Autumn,"['olive green', 'orange', 'peach', 'soft pink', 'black']"
tan,brown,black,Spring,"['coral', 'clear turquoise', 'grey', 'olive green', 'bright red']"
lightMedium,brown,blonde,Spring,"['golden yellow', 'warm green', 'pastel blue', 'warm brown', 'black']"
light,blue,blonde,Spring,"['coral', 'peach', 'grey', 'orange', 'bright red']"
medium,brown,brown,Autumn,"['olive green', 'orange', 'golden yellow', 'grey', 'jewel blue']"
