skin_tone,eye_color,hair_color,primary_season,color_palette,palette_name
fair,green,blonde,Spring,"['warm green', 'peach', 'lavender', 'orange', 'white']",Palette_348feddd
fairLight,brown,brown,Summer,"['lavender', 'pastel blue', 'peach', 'warm brown', 'jewel blue']",Palette_2c24cacb
medium,hazel,brown,Autumn,"['orange', 'olive green', 'clear turquoise', 'lavender', 'jewel blue']",Palette_58a8051e
light,brown,brown,Summer,"['grey', 'lavender', 'peach', 'warm brown', 'navy']",Palette_5cbda68a
light,blue,brown,Summer,"['soft green', 'soft pink', 'coral', 'olive green', 'black']",Palette_05388ace
lightMedium,brown,brown,Autumn,"['warm brown', 'orange', 'golden yellow', 'grey', 'jewel blue']",Palette_25f145ec
fair,Other,brunette,Summer,"['grey', 'lavender', 'peach', 'deep red', 'white']",Palette_00401ba4
light,brown,brown,Summer,"['grey', 'lavender', 'warm green', 'warm brown', 'black']",Palette_1da1dcfd
light,brown,brown,Summer,"['grey', 'soft green', 'peach', 'deep red', 'black']",Palette_d3f9b4d4
deep,brown,black,Winter,"['bright red', 'jewel blue', 'coral', 'soft pink', 'warm brown']",Palette_4564a266
deep,brown,black,Winter,"['jewel blue', 'navy', 'peach', 'soft green', 'mustard']",Palette_95d26491
lightMedium,blue,blonde,Spring,"['golden yellow', 'warm green', 'lavender', 'olive green', 'navy']",Palette_27f9bd6f
light,brown,brown,Summer,"['pastel blue', 'soft pink', 'peach', 'warm brown', 'black']",Palette_172a3472
fair,brown,blonde,Summer,"['soft green', 'grey', 'golden yellow', 'warm brown', 'bright red']",Palette_4b584fa0
Other,brown,brunette,Winter,"['white', 'jewel blue', 'coral', 'soft pink', 'orange']",Palette_7fbf459e
tan,brown,black,Spring,"['peach', 'clear turquoise', 'lavender', 'olive green', 'navy']",Palette_1de19f54
lightMedium,hazel,brown,Autumn,"['olive green', 'orange', 'coral', 'soft green', 'white']",Palette_0258dbff
light,brown,black,Summer,"['lavender', 'grey', 'coral', 'warm brown', 'black']",Palette_7d965c9b
mediumTan,brown,black,Spring,"['clear turquoise', 'coral', 'soft pink', 'orange', 'white']",Palette_1dd9b6ee
Other,brown,brunette,Winter,"['bright red', 'jewel blue', 'coral', 'pastel blue', 'orange']",Palette_6a520cad
fair,hazel,brown,Summer,"['soft green', 'grey', 'warm green', 'orange', 'white']",Palette_811701b0
light,brown,brown,Summer,"['soft green', 'lavender', 'clear turquoise', 'mustard', 'navy']",Palette_4f59a7e9
lightMedium,hazel,blonde,Spring,"['clear turquoise', 'coral', 'soft pink', 'deep red', 'white']",Palette_17a22d0c
tan,brown,black,Spring,"['warm green', 'peach', 'grey', 'deep red', 'black']",Palette_7de717bb
fair,brown,brown,Summer,"['grey', 'soft pink', 'golden yellow', 'deep red', 'bright red']",Palette_344d84ff
light,hazel,blonde,Spring,"['peach', 'golden yellow', 'lavender', 'mustard', 'white']",Palette_effc2a7e
lightMedium,blue,brown,Spring,"['golden yellow', 'coral', 'pastel blue', 'deep red', 'bright red']",Palette_17091770
light,brown,brunette,Summer,"['soft green', 'pastel blue', 'peach', 'mustard', 'navy']",Palette_f890219e
light,brown,brown,Summer,"['lavender', 'soft pink', 'coral', 'deep red', 'black']",Palette_b27a9044
fair,brown,blonde,Summer,"['pastel blue', 'lavender', 'peach', 'deep red', 'jewel blue']",Palette_e6c3e434
lightMedium,brown,brown,Autumn,"['orange', 'deep red', 'warm green', 'pastel blue', 'black']",Palette_6897426a
fairLight,blue,brown,Summer,"['soft green', 'grey', 'golden yellow', 'mustard', 'navy']",Palette_330c251b
medium,brown,brown,Autumn,"['warm brown', 'mustard', 'clear turquoise', 'soft green', 'navy']",Palette_795b3b04
medium,brown,brown,Autumn,"['deep red', 'orange', 'warm green', 'grey', 'black']",Palette_62372f10
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'soft pink', 'orange', 'bright red']",Palette_d2ae1246
fair,green,blonde,Spring,"['coral', 'golden yellow', 'grey', 'mustard', 'jewel blue']",Palette_914818c9
fair,green,blonde,Spring,"['golden yellow', 'coral', 'soft pink', 'deep red', 'bright red']",Palette_28fe3937
medium,brown,red,Autumn,"['olive green', 'warm brown', 'clear turquoise', 'soft pink', 'black']",Palette_7f9bf152
deep,brown,black,Winter,"['bright red', 'white', 'coral', 'soft pink', 'warm brown']",Palette_08b66b84
medium,brown,brunette,Autumn,"['deep red', 'mustard', 'coral', 'grey', 'jewel blue']",Palette_dec796e6
light,blue,blonde,Spring,"['peach', 'coral', 'grey', 'orange', 'bright red']",Palette_088e138a
fair,blue,brown,Summer,"['pastel blue', 'lavender', 'coral', 'orange', 'bright red']",Palette_1b46840e
fair,Other,brunette,Summer,"['pastel blue', 'soft pink', 'peach', 'mustard', 'jewel blue']",Palette_fa9daef9
lightMedium,green,brown,Autumn,"['deep red', 'orange', 'peach', 'soft green', 'white']",Palette_73c285b0
light,brown,brown,Summer,"['soft green', 'grey', 'coral', 'warm brown', 'bright red']",Palette_010c02a3
light,brown,brown,Summer,"['lavender', 'pastel blue', 'peach', 'olive green', 'jewel blue']",Palette_60793c7f
lightMedium,brown,blonde,Spring,"['clear turquoise', 'coral', 'soft green', 'olive green', 'white']",Palette_559eaa9b
fairLight,blue,blonde,Spring,"['coral', 'warm green', 'pastel blue', 'olive green', 'white']",Palette_58ab4ac8
fair,green,brown,Summer,"['grey', 'soft pink', 'warm green', 'mustard', 'black']",Palette_3969afce
light,green,blonde,Spring,"['coral', 'peach', 'lavender', 'olive green', 'bright red']",Palette_f8dc8257
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'soft pink', 'warm brown', 'white']",Palette_1200a326
fair,brown,blonde,Summer,"['soft pink', 'pastel blue', 'coral', 'deep red', 'white']",Palette_cbe9336c
lightMedium,brown,blonde,Spring,"['coral', 'golden yellow', 'soft pink', 'orange', 'bright red']",Palette_95391808
fairLight,blue,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'warm brown', 'navy']",Palette_1eeb4285
fair,green,black,Summer,"['grey', 'soft pink', 'peach', 'mustard', 'black']",Palette_f068ce63
lightMedium,brown,brown,Autumn,"['warm brown', 'mustard', 'clear turquoise', 'soft green', 'white']",Palette_77523fe9
light,hazel,blonde,Spring,"['warm green', 'coral', 'lavender', 'warm brown', 'jewel blue']",Palette_742d5661
fairLight,brown,brown,Summer,"['soft pink', 'lavender', 'coral', 'mustard', 'black']",Palette_1764a6b2
light,blue,brown,Summer,"['soft pink', 'pastel blue', 'clear turquoise', 'mustard', 'black']",Palette_b6d0d7f4
fair,blue,blonde,Spring,"['peach', 'clear turquoise', 'soft green', 'mustard', 'navy']",Palette_dcb4a244
fair,brown,brown,Summer,"['lavender', 'pastel blue', 'clear turquoise', 'olive green', 'black']",Palette_5efef242
fairLight,hazel,blonde,Spring,"['warm green', 'clear turquoise', 'soft green', 'deep red', 'white']",Palette_53a3009a
fair,blue,brown,Summer,"['soft pink', 'lavender', 'clear turquoise', 'deep red', 'black']",Palette_2e6cddcb
deep,brown,black,Winter,"['black', 'bright red', 'golden yellow', 'lavender', 'warm brown']",Palette_037876df
light,brown,brunette,Summer,"['soft green', 'grey', 'golden yellow', 'warm brown', 'bright red']",Palette_4b584fa0
mediumTan,brown,brown,Autumn,"['mustard', 'deep red', 'peach', 'soft pink', 'black']",Palette_75335706
fair,blue,brunette,Summer,"['soft pink', 'lavender', 'peach', 'warm brown', 'jewel blue']",Palette_c3939015
fairLight,green,brown,Summer,"['soft green', 'pastel blue', 'peach', 'deep red', 'black']",Palette_cf2861fb
light,hazel,brown,Summer,"['soft green', 'soft pink', 'warm green', 'deep red', 'white']",Palette_e3d33479
Other,blue,blonde,Spring,"['clear turquoise', 'warm green', 'pastel blue', 'olive green', 'jewel blue']",Palette_60caabd9
light,blue,brown,Summer,"['lavender', 'soft pink', 'coral', 'deep red', 'bright red']",Palette_7eacf72b
tan,brown,black,Spring,"['warm green', 'golden yellow', 'lavender', 'mustard', 'white']",Palette_2c507882
tan,brown,brown,Autumn,"['deep red', 'olive green', 'coral', 'soft pink', 'navy']",Palette_4d049217
fairLight,blue,blonde,Spring,"['peach', 'golden yellow', 'lavender', 'warm brown', 'black']",Palette_17ab07c1
light,hazel,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'mustard', 'black']",Palette_f939e506
fair,blue,blonde,Spring,"['peach', 'warm green', 'pastel blue', 'warm brown', 'black']",Palette_48b645d1
fair,blue,brown,Summer,"['soft pink', 'soft green', 'clear turquoise', 'deep red', 'navy']",Palette_83cca4e8
lightMedium,brown,black,Spring,"['peach', 'coral', 'pastel blue', 'warm brown', 'jewel blue']",Palette_a3cfae49
lightMedium,brown,brown,Autumn,"['deep red', 'warm brown', 'warm green', 'pastel blue', 'navy']",Palette_bc601257
light,green,black,Summer,"['soft green', 'grey', 'clear turquoise', 'olive green', 'navy']",Palette_a67a8e3d
light,brown,brown,Summer,"['lavender', 'soft pink', 'warm green', 'mustard', 'navy']",Palette_fbf4a3b4
lightMedium,brown,brown,Autumn,"['warm brown', 'deep red', 'golden yellow', 'pastel blue', 'jewel blue']",Palette_01c0d52b
lightMedium,green,brown,Autumn,"['orange', 'mustard', 'peach', 'soft pink', 'bright red']",Palette_51a76413
light,brown,black,Summer,"['grey', 'soft pink', 'warm green', 'orange', 'white']",Palette_3f1e9032
medium,hazel,blonde,Spring,"['golden yellow', 'clear turquoise', 'soft pink', 'orange', 'black']",Palette_fe26a9b5
medium,brown,brunette,Autumn,"['orange', 'olive green', 'clear turquoise', 'pastel blue', 'jewel blue']",Palette_7a148209
fair,blue,brown,Summer,"['soft green', 'soft pink', 'clear turquoise', 'orange', 'white']",Palette_12d69c9a
light,hazel,brown,Summer,"['lavender', 'soft green', 'clear turquoise', 'warm brown', 'bright red']",Palette_c0e53352
lightMedium,brown,brown,Autumn,"['mustard', 'deep red', 'peach', 'soft green', 'bright red']",Palette_524ef90b
light,green,blonde,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'orange', 'navy']",Palette_c521426f
light,blue,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'orange', 'white']",Palette_4188f9c9
lightMedium,green,brown,Autumn,"['orange', 'mustard', 'golden yellow', 'grey', 'black']",Palette_fecdcdbf
lightMedium,hazel,brown,Autumn,"['warm brown', 'orange', 'golden yellow', 'lavender', 'jewel blue']",Palette_ba4da0f9
fair,hazel,brunette,Summer,"['lavender', 'pastel blue', 'peach', 'deep red', 'white']",Palette_89c87b1f
fair,blue,brown,Summer,"['grey', 'soft green', 'golden yellow', 'mustard', 'bright red']",Palette_4867752d
light,hazel,auburn,Spring,"['peach', 'golden yellow', 'pastel blue', 'mustard', 'jewel blue']",Palette_21370a11
light,brown,black,Summer,"['lavender', 'grey', 'warm green', 'orange', 'bright red']",Palette_67c210b4
light,green,brown,Summer,"['pastel blue', 'soft green', 'peach', 'deep red', 'white']",Palette_fcd7134b
light,hazel,brown,Summer,"['pastel blue', 'soft pink', 'coral', 'orange', 'jewel blue']",Palette_14e78b07
light,brown,brown,Summer,"['grey', 'lavender', 'clear turquoise', 'mustard', 'navy']",Palette_5119e0d7
medium,green,brown,Autumn,"['mustard', 'warm brown', 'warm green', 'soft green', 'white']",Palette_45b46c73
lightMedium,brown,brown,Autumn,"['orange', 'warm brown', 'warm green', 'pastel blue', 'black']",Palette_b864639d
lightMedium,brown,black,Spring,"['peach', 'golden yellow', 'pastel blue', 'warm brown', 'jewel blue']",Palette_b2701c9d
light,brown,brown,Summer,"['grey', 'lavender', 'coral', 'deep red', 'bright red']",Palette_16af89c1
fair,hazel,auburn,Spring,"['coral', 'golden yellow', 'soft pink', 'olive green', 'black']",Palette_7ba7c843
light,brown,black,Summer,"['soft green', 'grey', 'warm green', 'deep red', 'black']",Palette_570a3693
light,blue,blonde,Spring,"['golden yellow', 'warm green', 'soft green', 'olive green', 'jewel blue']",Palette_7e0d8a0a
medium,brown,brunette,Autumn,"['olive green', 'orange', 'warm green', 'soft pink', 'navy']",Palette_768a77fb
light,brown,brown,Summer,"['soft green', 'lavender', 'coral', 'orange', 'navy']",Palette_7588cfd7
fair,blue,brown,Summer,"['grey', 'pastel blue', 'clear turquoise', 'orange', 'navy']",Palette_f9667040
lightMedium,brown,black,Spring,"['golden yellow', 'coral', 'lavender', 'orange', 'black']",Palette_efc30fe2
light,brown,brown,Summer,"['grey', 'pastel blue', 'warm green', 'mustard', 'jewel blue']",Palette_681a836e
fair,green,blonde,Spring,"['peach', 'warm green', 'pastel blue', 'mustard', 'jewel blue']",Palette_f1f5d0de
fair,brown,black,Summer,"['soft green', 'lavender', 'warm green', 'olive green', 'white']",Palette_0182d5d9
Other,brown,black,Winter,"['bright red', 'black', 'golden yellow', 'pastel blue', 'deep red']",Palette_7f9673af
fairLight,green,brown,Summer,"['lavender', 'grey', 'clear turquoise', 'mustard', 'navy']",Palette_e0d486a3
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'grey', 'mustard', 'navy']",Palette_818101bc
fair,blue,brown,Summer,"['soft green', 'soft pink', 'golden yellow', 'mustard', 'navy']",Palette_f28163f6
fair,blue,blonde,Spring,"['golden yellow', 'peach', 'lavender', 'orange', 'jewel blue']",Palette_1810c619
light,blue,brown,Summer,"['soft green', 'lavender', 'peach', 'orange', 'jewel blue']",Palette_795d14c8
mediumTan,brown,brown,Autumn,"['mustard', 'orange', 'clear turquoise', 'soft green', 'white']",Palette_8a1976ad
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'coral', 'grey', 'jewel blue']",Palette_b3b13522
lightMedium,blue,brown,Spring,"['golden yellow', 'coral', 'soft pink', 'warm brown', 'white']",Palette_b4ab48fe
fair,blue,blonde,Spring,"['coral', 'clear turquoise', 'soft green', 'mustard', 'black']",Palette_5a66a60c
lightMedium,brown,brown,Autumn,"['deep red', 'olive green', 'warm green', 'grey', 'black']",Palette_597ddaae
lightMedium,brown,brown,Autumn,"['orange', 'mustard', 'clear turquoise', 'lavender', 'navy']",Palette_aa896219
mediumTan,brown,black,Spring,"['coral', 'clear turquoise', 'lavender', 'mustard', 'bright red']",Palette_bbea9ae5
mediumTan,brown,black,Spring,"['coral', 'golden yellow', 'grey', 'mustard', 'black']",Palette_9ba03431
fairLight,blue,brown,Summer,"['pastel blue', 'grey', 'peach', 'olive green', 'bright red']",Palette_158420e1
light,blue,brown,Summer,"['lavender', 'grey', 'coral', 'orange', 'bright red']",Palette_db56f350
light,brown,brown,Summer,"['soft green', 'lavender', 'clear turquoise', 'warm brown', 'bright red']",Palette_e477de3c
fair,hazel,brown,Summer,"['pastel blue', 'soft green', 'clear turquoise', 'mustard', 'jewel blue']",Palette_b783b0e8
fairLight,blue,brown,Summer,"['soft green', 'pastel blue', 'golden yellow', 'warm brown', 'bright red']",Palette_bd82adb5
mediumTan,brown,brown,Autumn,"['orange', 'mustard', 'golden yellow', 'soft green', 'black']",Palette_f2b2ffad
fairLight,brown,brown,Summer,"['soft green', 'lavender', 'coral', 'mustard', 'navy']",Palette_7acc90fc
lightMedium,brown,black,Spring,"['coral', 'golden yellow', 'soft green', 'warm brown', 'jewel blue']",Palette_9e4933be
fair,hazel,brown,Summer,"['soft green', 'soft pink', 'coral', 'orange', 'navy']",Palette_22d9f238
mediumTan,brown,brown,Autumn,"['olive green', 'warm brown', 'coral', 'soft green', 'navy']",Palette_fdb5a9fa
mediumTan,brown,brown,Autumn,"['warm brown', 'mustard', 'peach', 'pastel blue', 'jewel blue']",Palette_527c3ebf
light,brown,blonde,Summer,"['grey', 'lavender', 'warm green', 'orange', 'bright red']",Palette_88fa3230
fairLight,hazel,brown,Summer,"['pastel blue', 'soft green', 'golden yellow', 'warm brown', 'jewel blue']",Palette_0eec2493
light,blue,blonde,Spring,"['warm green', 'golden yellow', 'grey', 'orange', 'navy']",Palette_73eed915
tan,brown,black,Spring,"['coral', 'warm green', 'pastel blue', 'olive green', 'bright red']",Palette_ad10dada
tan,brown,black,Spring,"['clear turquoise', 'coral', 'lavender', 'orange', 'bright red']",Palette_3bfeaaf6
fair,blue,red,Spring,"['golden yellow', 'warm green', 'soft green', 'orange', 'navy']",Palette_dbfdfe18
mediumTan,brown,brown,Autumn,"['orange', 'deep red', 'warm green', 'pastel blue', 'jewel blue']",Palette_c3095a18
Other,brown,Other,Winter,"['bright red', 'black', 'peach', 'grey', 'deep red']",Palette_637c9863
lightMedium,hazel,black,Spring,"['coral', 'peach', 'soft pink', 'mustard', 'navy']",Palette_94bbe849
light,brown,brown,Summer,"['pastel blue', 'grey', 'warm green', 'deep red', 'white']",Palette_89f00e62
fair,hazel,blonde,Spring,"['clear turquoise', 'peach', 'lavender', 'orange', 'white']",Palette_dc78f69d
fairLight,hazel,blonde,Spring,"['golden yellow', 'coral', 'soft green', 'mustard', 'jewel blue']",Palette_557a8ef1
fairLight,blue,brown,Summer,"['soft pink', 'pastel blue', 'peach', 'orange', 'jewel blue']",Palette_15f2b323
tan,brown,black,Spring,"['golden yellow', 'clear turquoise', 'lavender', 'mustard', 'white']",Palette_cdadbb98
fair,hazel,auburn,Spring,"['coral', 'peach', 'soft pink', 'mustard', 'bright red']",Palette_8eb10776
medium,brown,blonde,Spring,"['warm green', 'peach', 'lavender', 'orange', 'black']",Palette_bd70224d
lightMedium,brown,black,Spring,"['warm green', 'golden yellow', 'soft green', 'orange', 'navy']",Palette_9ff77ce3
fair,blue,brown,Summer,"['lavender', 'grey', 'clear turquoise', 'warm brown', 'black']",Palette_ac96a1e7
mediumTan,brown,black,Spring,"['peach', 'golden yellow', 'pastel blue', 'olive green', 'bright red']",Palette_852fdaf3
light,green,Other,Summer,"['soft green', 'pastel blue', 'coral', 'warm brown', 'white']",Palette_0b3028ae
lightMedium,hazel,blonde,Spring,"['warm green', 'clear turquoise', 'soft green', 'warm brown', 'navy']",Palette_fe5ef242
light,brown,brown,Summer,"['pastel blue', 'grey', 'warm green', 'olive green', 'jewel blue']",Palette_97b69018
lightMedium,brown,brown,Autumn,"['deep red', 'orange', 'clear turquoise', 'soft pink', 'jewel blue']",Palette_d88b769a
lightMedium,brown,black,Spring,"['golden yellow', 'coral', 'soft green', 'olive green', 'bright red']",Palette_df499ec7
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'coral', 'grey', 'jewel blue']",Palette_5ec184aa
light,green,brown,Summer,"['grey', 'soft pink', 'coral', 'deep red', 'bright red']",Palette_ebd7e39d
light,brown,black,Summer,"['grey', 'pastel blue', 'warm green', 'orange', 'bright red']",Palette_7fed428e
fair,green,blonde,Spring,"['peach', 'warm green', 'lavender', 'deep red', 'navy']",Palette_903c0b9d
light,blue,brown,Summer,"['lavender', 'grey', 'coral', 'warm brown', 'jewel blue']",Palette_3bef7ca3
light,blue,blonde,Spring,"['peach', 'clear turquoise', 'soft green', 'olive green', 'navy']",Palette_7ca471c1
fair,brown,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'mustard', 'white']",Palette_9240ccdd
lightMedium,green,brown,Autumn,"['deep red', 'olive green', 'peach', 'grey', 'white']",Palette_dac62e3d
fair,brown,brown,Summer,"['soft green', 'grey', 'peach', 'mustard', 'white']",Palette_3a26bf51
fair,green,brown,Summer,"['pastel blue', 'lavender', 'golden yellow', 'warm brown', 'white']",Palette_7b0e267f
fair,brown,brown,Summer,"['pastel blue', 'grey', 'peach', 'warm brown', 'navy']",Palette_e5717123
fair,blue,brown,Summer,"['grey', 'soft pink', 'clear turquoise', 'orange', 'navy']",Palette_fa17cf4a
light,brown,brown,Summer,"['soft pink', 'grey', 'clear turquoise', 'olive green', 'bright red']",Palette_c5db3b62
lightMedium,hazel,blonde,Spring,"['peach', 'clear turquoise', 'lavender', 'deep red', 'bright red']",Palette_fa1b1be9
lightMedium,blue,brown,Spring,"['warm green', 'golden yellow', 'pastel blue', 'olive green', 'navy']",Palette_02293bfc
fairLight,green,brown,Summer,"['soft pink', 'grey', 'warm green', 'warm brown', 'black']",Palette_e5ca4792
lightMedium,green,brown,Autumn,"['deep red', 'olive green', 'clear turquoise', 'lavender', 'jewel blue']",Palette_e48420d4
light,brown,brown,Summer,"['grey', 'pastel blue', 'clear turquoise', 'deep red', 'white']",Palette_343aabaa
fairLight,blue,blonde,Spring,"['warm green', 'coral', 'pastel blue', 'warm brown', 'jewel blue']",Palette_cdb2c4f4
lightMedium,hazel,brown,Autumn,"['mustard', 'orange', 'peach', 'soft green', 'bright red']",Palette_f2f349f2
light,blue,blonde,Spring,"['clear turquoise', 'coral', 'soft green', 'orange', 'navy']",Palette_0ae0b2e2
light,blue,blonde,Spring,"['peach', 'clear turquoise', 'lavender', 'olive green', 'white']",Palette_612f4c5a
deep,brown,brown,Winter,"['white', 'bright red', 'warm green', 'soft pink', 'warm brown']",Palette_4cf28fe7
light,brown,black,Summer,"['soft pink', 'soft green', 'coral', 'warm brown', 'white']",Palette_1af5cd85
light,blue,blonde,Spring,"['clear turquoise', 'warm green', 'soft green', 'warm brown', 'navy']",Palette_bcace488
fairLight,brown,brown,Summer,"['soft pink', 'pastel blue', 'coral', 'mustard', 'jewel blue']",Palette_b885f941
light,green,brown,Summer,"['pastel blue', 'grey', 'peach', 'orange', 'navy']",Palette_e2c90ac3
light,brown,blonde,Summer,"['lavender', 'pastel blue', 'clear turquoise', 'olive green', 'jewel blue']",Palette_450bb53a
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'clear turquoise', 'pastel blue', 'bright red']",Palette_53b63805
fair,blue,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'deep red', 'navy']",Palette_8e074871
fair,hazel,brown,Summer,"['lavender', 'soft green', 'coral', 'orange', 'white']",Palette_0d47c312
fair,brown,black,Summer,"['soft pink', 'lavender', 'golden yellow', 'orange', 'black']",Palette_db3a056a
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'peach', 'lavender', 'black']",Palette_dd1c9545
mediumTan,hazel,blonde,Spring,"['golden yellow', 'peach', 'grey', 'deep red', 'white']",Palette_17f9dc4d
fairLight,green,brown,Summer,"['soft green', 'soft pink', 'peach', 'warm brown', 'navy']",Palette_5e4e67ab
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'coral', 'grey', 'black']",Palette_37d27f19
fair,blue,blonde,Spring,"['coral', 'peach', 'soft green', 'warm brown', 'black']",Palette_8403ca27
fairLight,brown,brown,Summer,"['soft green', 'soft pink', 'peach', 'orange', 'jewel blue']",Palette_7a6523f0
lightMedium,brown,brown,Autumn,"['mustard', 'olive green', 'golden yellow', 'soft green', 'black']",Palette_7419a83b
light,brown,brown,Summer,"['soft pink', 'pastel blue', 'golden yellow', 'orange', 'white']",Palette_aabb0ec9
fair,brown,blonde,Summer,"['grey', 'soft green', 'warm green', 'olive green', 'jewel blue']",Palette_6c1f12c8
fairLight,brown,brown,Summer,"['lavender', 'grey', 'coral', 'olive green', 'bright red']",Palette_327546f5
fair,hazel,auburn,Spring,"['peach', 'golden yellow', 'lavender', 'deep red', 'black']",Palette_333e768a
light,brown,brown,Summer,"['lavender', 'pastel blue', 'peach', 'deep red', 'navy']",Palette_13d0cd77
light,green,brown,Summer,"['grey', 'soft green', 'coral', 'olive green', 'jewel blue']",Palette_56eb10b4
fair,brown,black,Summer,"['soft pink', 'soft green', 'coral', 'orange', 'navy']",Palette_7bcaf135
lightMedium,hazel,brown,Autumn,"['orange', 'olive green', 'coral', 'lavender', 'navy']",Palette_5ad12646
light,green,brown,Summer,"['soft green', 'lavender', 'coral', 'mustard', 'bright red']",Palette_36f7d0a8
tan,brown,black,Spring,"['peach', 'coral', 'soft pink', 'deep red', 'black']",Palette_186f9ce3
fair,brown,brunette,Summer,"['grey', 'pastel blue', 'golden yellow', 'olive green', 'bright red']",Palette_d279442a
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'golden yellow', 'pastel blue', 'navy']",Palette_e4d79cf2
lightMedium,brown,black,Spring,"['coral', 'clear turquoise', 'soft green', 'warm brown', 'jewel blue']",Palette_80fee36e
light,blue,blonde,Spring,"['peach', 'golden yellow', 'soft pink', 'mustard', 'white']",Palette_5dd3459c
light,blue,brunette,Summer,"['soft pink', 'lavender', 'warm green', 'warm brown', 'bright red']",Palette_82b71f37
Other,brown,black,Winter,"['bright red', 'navy', 'warm green', 'pastel blue', 'olive green']",Palette_445b8730
medium,brown,blonde,Spring,"['clear turquoise', 'golden yellow', 'soft pink', 'olive green', 'white']",Palette_54e6c173
light,brown,brown,Summer,"['soft green', 'grey', 'clear turquoise', 'olive green', 'black']",Palette_3b0f1915
light,brown,brown,Summer,"['soft green', 'pastel blue', 'warm green', 'mustard', 'navy']",Palette_e40148b0
deep,brown,black,Winter,"['navy', 'jewel blue', 'warm green', 'soft pink', 'mustard']",Palette_9ec68a7a
medium,brown,brown,Autumn,"['deep red', 'mustard', 'golden yellow', 'soft pink', 'black']",Palette_77da2a5e
lightMedium,brown,brown,Autumn,"['deep red', 'mustard', 'warm green', 'lavender', 'white']",Palette_ed40f539
light,brown,black,Summer,"['lavender', 'grey', 'golden yellow', 'olive green', 'jewel blue']",Palette_47f53999
light,brown,black,Summer,"['pastel blue', 'grey', 'peach', 'olive green', 'white']",Palette_c72cbb38
lightMedium,brown,blonde,Spring,"['coral', 'golden yellow', 'grey', 'warm brown', 'bright red']",Palette_76ec7244
light,green,blonde,Spring,"['golden yellow', 'peach', 'soft pink', 'orange', 'jewel blue']",Palette_4f491208
light,brown,brown,Summer,"['soft green', 'soft pink', 'clear turquoise', 'deep red', 'white']",Palette_e2b9f56c
light,blue,blonde,Spring,"['warm green', 'coral', 'lavender', 'warm brown', 'navy']",Palette_1421ac37
mediumTan,hazel,brown,Autumn,"['deep red', 'warm brown', 'coral', 'soft green', 'jewel blue']",Palette_ff34a3ca
lightMedium,blue,blonde,Spring,"['coral', 'clear turquoise', 'pastel blue', 'mustard', 'jewel blue']",Palette_038d8de4
mediumTan,brown,brown,Autumn,"['deep red', 'warm brown', 'warm green', 'lavender', 'white']",Palette_eb3ebe98
fair,green,brown,Summer,"['soft pink', 'soft green', 'coral', 'warm brown', 'bright red']",Palette_f08315b3
fair,blue,red,Spring,"['coral', 'golden yellow', 'lavender', 'mustard', 'bright red']",Palette_7a74d0ef
fair,Other,auburn,Summer,"['soft green', 'pastel blue', 'golden yellow', 'deep red', 'bright red']",Palette_472b85f1
fair,green,brown,Summer,"['grey', 'lavender', 'golden yellow', 'mustard', 'navy']",Palette_bdae26a2
fair,blue,brown,Summer,"['soft pink', 'soft green', 'peach', 'deep red', 'jewel blue']",Palette_db938e97
fair,brown,black,Summer,"['lavender', 'grey', 'coral', 'deep red', 'black']",Palette_1adfff79
fairLight,green,brown,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'warm brown', 'black']",Palette_33a83409
light,hazel,red,Spring,"['warm green', 'peach', 'soft green', 'orange', 'white']",Palette_bd96d241
light,brown,brown,Summer,"['soft green', 'lavender', 'clear turquoise', 'orange', 'navy']",Palette_d75237a9
light,brown,brown,Summer,"['grey', 'soft pink', 'golden yellow', 'orange', 'jewel blue']",Palette_7c7d8827
fair,green,brown,Summer,"['soft green', 'soft pink', 'coral', 'warm brown', 'navy']",Palette_9eba00fc
light,hazel,brunette,Summer,"['pastel blue', 'soft pink', 'clear turquoise', 'warm brown', 'jewel blue']",Palette_3ec3667a
light,green,brown,Summer,"['soft pink', 'soft green', 'clear turquoise', 'orange', 'black']",Palette_8f911326
deep,brown,brown,Winter,"['white', 'jewel blue', 'golden yellow', 'lavender', 'olive green']",Palette_0b2b3902
Other,hazel,blonde,Spring,"['peach', 'clear turquoise', 'soft pink', 'orange', 'jewel blue']",Palette_8232caa1
fair,green,blonde,Spring,"['clear turquoise', 'golden yellow', 'lavender', 'deep red', 'bright red']",Palette_e1a45950
